year, pp ,pgr,ft,leb,imt,afr,UR,imt5,hivp,hse,es,pibc,cpib,apib,inpib,inv,avg,imgs,fgb,mexp,impc,co2e,uepe,celpc,sdv,aodf,adt,iedil,spc,ekm,tctr
1960," 5,454,933.00 ",1.369925778,6.708,37.524,,202.2,,,,,,,,,,,,,,,,0.100835336,,,,-50000.00075,,,,,
1961," 5,531,472.00 ",1.393362766,6.79,37.811,,204.6,,,,,,,,,,,,,,,,0.082203797,,,,23549999.24,,,1246700,,45.85706265
1962," 5,608,539.00 ",1.383629325,6.872,38.113,,207,,,,,,,,,,,,,,,,0.210531477,,,,,,,1246700,,45.88112617
1963," 5,679,458.00 ",1.256554783,6.954,38.43,,209.4,,,,,,,,,,,,,,,,0.202737303,,,,29999.99933,,,1246700,,45.89716852
1964," 5,735,044.00 ",0.97396171,7.036,38.76,,211.8,,,,,,,,,,,,,,,,0.213560349,,,,,,,1246700,,45.92123205
1965," 5,770,570.00 ",0.617543973,7.116,39.102,,214.2,,,,,,,,,,,,,,,,0.205890926,,,,1110000.014,,,1246700,,45.9372744
1966," 5,781,214.00 ",0.184283276,7.194,39.454,,216.6,,,,,,,,,,,,,,,,0.268941437,,,,2859999.895,,,1246700,,45.96133793
1967," 5,774,243.00 ",-0.120652967,7.267,39.813,,219,,,,,,,,,,,,,,,,0.172101694,,,,18180000.31,,,1246700,,45.98540146
1968," 5,771,652.00 ",-0.044881753,7.332,40.178,,220.2,,,,,,,,,,,,,,,,0.289718091,,,,9999.999776,,,1246700,,46.00946499
1969," 5,803,254.00 ",0.546044668,7.388,40.546,,221.4,,,,,,,,,,,,,,,,0.48023402,,,,-109999.9994,,,1246700,,46.04154969
1970," 5,890,365.00 ",1.489917047,7.434,40.914,,222.6,,,,,,,,,,,,,,,,0.608223599,,,,-29999.99933,0,2400000,1246700,,46.04154969
1971," 6,040,777.00 ",2.521468087,7.467,41.282,,223.8,,,,5.76748,58.57027,,,,,,,,,,,0.564548236,637.4590553,92.04113974,,0,0,1860000,1246700,,46.04154969
1972," 6,248,552.00 ",3.381711085,7.488,41.65,,225,,,,6.34225,64.29822,,,,,,,,,,,0.721245978,663.4527487,100.5032846,,90000.00358,0,2160000,1246700,,46.04154969
1973," 6,496,962.00 ",3.898492612,7.498,42.016,,224.736,,,,7.05664,67.90733,,,,,,,,,,,0.751239887,635.7876189,113.5915525,,159999.9964,0,7540000,1246700,,46.04154969
1974," 6,761,380.00 ",3.98923282,7.5,42.374,,224.472,,,,,75.88877,,,,,,,,,,,0.72077638,624.1106106,136.3626952,,370000.0048,0,6690000,1246700,,46.04154969
1975," 7,024,000.00 ",3.81058451,7.494,42.721,,224.208,,,,,,,,,,,,,,,,0.628568907,586.6904897,139.3792711,,4760000.229,0,50000,1246700,,46.04154969
1976," 7,279,509.00 ",3.573055855,7.485,43.053,,223.944,,,,,,,,,,,,,,,,0.451353518,559.4544907,60.30626516,,17479999.54,0,-1170000,1246700,,46.04154969
1977," 7,533,735.00 ",3.432751989,7.475,43.367,,223.68,,,,,,,,,,,,,,,,0.469221176,532.94946,58.27122934,,47500000,0,,1246700,,46.04154969
1978," 7,790,707.00 ",3.354067837,7.467,43.66,,223.68,,,,8.11106,,,,,,,,,,,,0.694736947,566.9521393,56.34918628,,46869998.93,0,1870000,1246700,,46.04154969
1979," 8,058,067.00 ",3.374208831,7.461,43.931,,223.68,,,,,,,,,,,,,,,,0.683062948,555.7454412,58.57484183,,47060001.37,0,2000000,1246700,,46.04154969
1980," 8,341,289.00 ",3.454405933,7.459,44.178,140.7,223.68,,238.1,,10.68394,142.74409,710.9816481,,5930503401,,,,,,,,0.640966402,547.0445875,60.66208712,,52439998.63,0,37420000,1246700,,46.04154969
1981," 8,640,446.00 ",3.523644107,7.459,44.404,139.2,223.68,,235.6,,13.76514,123.53842,642.383858,-4.400001219,5550483036,-2.100306165,,,,,,,0.61113512,531.5891101,58.56179183,,60220001.22,0,49050000,1246700,,46.04154969
1982," 8,952,950.00 ",3.552888506,7.461,44.611,137.3,223.68,,232.4,,9.68932,114.47567,619.9613575,0,5550483036,0,,,,,,,0.519354626,506.0593436,60.31531506,,59069999.69,0,115810000,1246700,,46.04154969
1983," 9,278,096.00 ",3.567326642,7.462,44.799,135.9,223.344,,230,,8.70721,103.94402,623.4405848,4.200001428,5784341596,0.01276356,,,,,,,0.551348574,501.9049167,63.26729105,,73879997.25,0,104330000,1246700,,46.04154969
