_id,X,Y,FID,Name_of_Sc,Level_,Status,SchSponsor,Type1,Type2,Type3,PupilTeach,ClassrmRat,ToiletRati,No_Classrm,BoysToilet,GirlsToilet,TeachersTo,TotalToile,TotalBoys,TotalGirls,TotalEnrol,GO_KTSC_M,GOK_TSC_F,authorityM,authorityF,PTA_BOG_M,PTA_BOG_F,OthersM,OthersF,NoTeaching,NonTeachin,Province,District,Division,Location,Costituenc,Latitude,Longitude
1,36.14,0.27,10001,CHEBIREBEI PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,15.7,5.9,23.5,8,1,1,1,0,0,0,47,2,1,0,0,0,0,0,0,0,0,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,SINENDE,0.27,36.14
2,36.17,0.26,10002,WASEGES PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,24.5,18.4,36.8,8,2,2,2,0,0,0,147,6,0,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,SINENDE,0.26,36.17
3,36.18,0.24,10003,KIRIBOT PRI,PRIMARY SCHOOL,PUBLIC,COMMUNITY,MIXED,DAY ONLY,ORDINARY,23.6,14.8,59,8,1,1,1,0,0,0,118,5,0,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,KABUSWO,0.24,36.18
4,36.19,0.21,10004,KABUSWO PRI SCH,PRIMARY SCHOOL,PUBLIC,COMMUNITY,MIXED,DAY ONLY,ORDINARY,33.3,29.6,53.2,9,2,3,2,0,0,0,266,7,1,0,0,0,0,0,0,2,0,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,KABUSWO,0.21,36.19
5,37.7,-0.88,10005,VONDENI PRI SCHOOL,PRIMARY SCHOOL,PUBLIC,COMMUNITY,MIXED,DAY ONLY,ORDINARY,31.8,23.1,42.3,11,4,2,2,0,0,0,254,4,3,0,0,1,0,0,0,1,1,EASTERN,MACHAKOS,MASINGA,KIVAA,MASINGA,-0.88,37.7
6,36.1,0.07,10006,POMBO PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,31.3,40.7,27.1,10,8,7,2,0,0,0,407,8,5,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,NGENDALEL,0.07,36.1
7,36.13,0.1,10007,KIPNYUNGUNY PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,39,30.3,34.1,9,4,4,2,0,0,0,273,4,3,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,NGENDALEL,0.1,36.13
8,36.14,0.13,10008,KABERGEI PRI,PRIMARY SCHOOL,PUBLIC,COMMUNITY,MIXED,DAY ONLY,ORDINARY,26,26,13,1,1,1,0,0,0,0,26,1,0,0,0,0,0,0,0,0,1,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,OLKOKWE,0.13,36.14
9,35.54,0.37,10009,KOPTEGA PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,27.2,44.1,23.5,8,7,8,2,0,0,0,353,4,9,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.37,35.54
10,36.09,0.11,10010,CHOMIEK PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,16.4,14.4,23,8,3,2,2,0,0,0,115,6,1,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,OLDEBES,0.11,36.09
11,35.56,0.37,10011,KAPNG'ETIK PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,37.6,42.3,67.6,8,2,3,2,0,0,0,338,3,6,0,0,0,0,0,0,0,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.37,35.56
12,36.08,0.06,10012,OLDEBES PRI SCH,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,39.8,39.8,31.8,8,5,5,2,0,0,0,318,6,2,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,OLDEBES,0.06,36.08
13,35.57,0.39,10013,YATIANE PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,16.8,21,33.6,8,2,3,1,0,0,0,168,2,8,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.39,35.57
14,36.06,0,10014,KOISARAM PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,47.8,34.1,79.7,7,1,2,2,0,0,0,239,4,1,0,0,0,0,0,0,1,1,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,KISANANA,0,36.06
15,35.58,0.38,10015,CHEROTA PRI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,27,24,27,9,4,4,2,0,0,0,216,4,4,0,0,0,0,0,0,1,0,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,0.38,35.58
16,35.79,0.05,10016,NGARIE PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,13.3,13.3,26.5,4,1,1,1,0,0,0,53,2,2,0,0,0,0,0,0,0,1,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,0.05,35.79
17,35.78,0.03,10017,KABIMOI PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,22.3,22.3,31.6,17,4,8,2,0,0,0,379,5,12,0,0,0,0,0,0,1,2,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,0.03,35.78
